Name,Description,Latitude,Longitude,Instagram,Rank,City
#1 Tres,"Tostadero y barra separados por un panel de vidrio. Sirven y tuestan su propio café, con grano colombiano de acidez media-alta y notas cítricas. Local minimalista frente a la vía del tren Mitre.",-34.573272,-58.448281,https://www.instagram.com/tres.tostador/,1,"Colegiales, Buenos Aires"
#2 Blanca Studio,"Espacio íntimo entre Colegiales y Chacarita. Menú de orígenes según temporada, matcha y pastelería, con vinilos de fondo.",-34.5858,-58.4545,https://www.instagram.com/blancastudio___/,2,"Chacarita, Buenos Aires"
#3 Ciro,"Restaurante y cafetería de inspiración italiana. Granos de Brasil con Modo Barista: frutos rojos, chocolate y almendra. Sedes en Puerto Madero y Palermo.",-34.614238,-58.363376,https://www.instagram.com/ciro.gastronomia/,3,"Puerto Madero, Buenos Aires"
#4 Vive Café,"Tuestan y perfilan café de distintos orígenes, en filtrados y espresso. Dos locales: Palermo Hollywood y Villa Ortúzar.",-34.581681,-58.435909,https://www.instagram.com/vivecafe/,4,"Palermo Hollywood, Buenos Aires"
#5 Cuervo Café,Arrancaron en 2016 Agustín Caro y Pablo Tokatlian. Tuestan granos que importan de distintos orígenes y hoy también tienen heladería.,-34.586889,-58.450028,https://www.instagram.com/cuervocafe/,5,"Chacarita, Buenos Aires"
#6 Blanca,"Concept store de café, bakery y objetos. Casa madre de Blanca Studio, con local en Soldado de la Independencia 1177, Las Cañitas.",-34.564619,-58.439214,https://www.instagram.com/blancadecocafe/,6,"Las Cañitas, Buenos Aires"
#7 Negro,"Negro Cueva de Café, en San Nicolás. Séptimo a nivel país y 94 en The World's 100 Best Coffee Shops 2026.",-34.60084,-58.379578,,7,"San Nicolás, Buenos Aires"
#8 Calafate Coffee Roasters,"Tuestan y sirven café de especialidad en El Calafate, en José Pantin 31. También mandan grano a todo el país.",-50.337948,-72.259089,https://www.instagram.com/calafatecoffeeroasters/,8,"El Calafate, Santa Cruz"
#9 Meme,"Café de especialidad en Palermo, en Dorrego 2591. Barra chica y mucha gente del barrio.",-34.574594,-58.434494,https://www.instagram.com/_memecoffee/,9,"Palermo, Buenos Aires"
#10 Raíz,"Barra de especialidad en Villa Crespo, un poco más lejos del circuito Palermo.",-34.600943,-58.432588,https://www.instagram.com/raiz.cafe/,10,"Villa Crespo, Buenos Aires"
#11 Fruto,"Café de especialidad en Palermo, sobre Cabrera.",-34.582993,-58.441609,https://www.instagram.com/fruto.cafe/,11,Buenos Aires
#12 Lattente,"Cafetería de especialidad en Thames, Palermo Soho.",-34.586166,-58.428024,https://www.instagram.com/lattentecafe/,12,Buenos Aires
